,Laser power,Scan speed,Line spacing,Layer thickness,STMPS-Width
131,500.0,600.0,0.13199999999999998,0.06,167.54333333333332
132,450.0,600.0,0.166,0.06,161.8466666666667
133,450.0,600.0,0.13799999999999998,0.04,241.67988888888902
134,500.0,1600.0,0.094,0.04,144.2247777777778
135,250.0,600.0,0.099,0.06,143.31022222222222
136,350.0,400.0,0.08499999999999999,0.08,155.00344444444443
137,400.0,400.0,0.174,0.06,226.01022222222227
138,250.0,800.0,0.129,0.04,146.86916674999998
139,400.0,400.0,0.197,0.06,226.01022222222224
140,250.0,600.0,0.087,0.04,156.0775555570014
141,400.0,400.0,0.15999999999999998,0.04,240.65366666666665
142,300.0,400.0,0.15999999999999998,0.08,157.4081111111111
143,200.0,400.0,0.073,0.08,151.71077777777776
144,250.0,600.0,0.031,0.06,143.31022222222228
145,500.0,1600.0,0.104,0.04,144.2247777777778
146,400.0,400.0,0.20500000000000002,0.04,240.65366666666665
147,350.0,1000.0,0.06299999999999999,0.04,155.343444499999
148,200.0,400.0,0.118,0.08,151.71077777777776
149,500.0,1000.0,0.13300000000000003,0.04,171.20366666666666
150,500.0,800.0,0.19700000000000004,0.04,207.71211111111106
151,200.0,400.0,0.07300000000000001,0.08,151.7107777777778
152,200.0,400.0,0.07699999999999999,0.08,151.71077777777776
153,250.0,400.0,0.142,0.08,154.1232222222222
154,500.0,1600.0,0.09300000000000001,0.04,144.2247777777778
155,400.0,400.0,0.15299999999999997,0.08,159.6708888994328
156,450.0,600.0,0.071,0.08,146.9088888888889
157,500.0,1800.0,0.11,0.04,146.541
158,200.0,800.0,0.099,0.04,143.7307779
159,400.0,400.0,0.205,0.04,233.3319444421564
160,500.0,1600.0,0.11399999999999999,0.04,144.2247777777778
161,400.0,400.0,0.137,0.06,226.01022222222224
162,400.0,1000.0,0.113,0.04,167.36705555
163,500.0,600.0,0.179,0.06,167.54333333333332
164,450.0,1200.0,0.091,0.04,152.7262222222222
165,250.0,400.0,0.163,0.06,155.68899999908336
166,300.0,600.0,0.127,0.04,174.77022222222223
167,250.0,400.0,0.091,0.06,155.68899999758622
168,250.0,400.0,0.072,0.1,155.68900000401646
169,300.0,800.0,0.14200000000000002,0.04,150.0075555555555
170,350.0,600.0,0.05499999999999999,0.06,155.0836666666667
171,300.0,400.0,0.18799999999999997,0.04,182.74527772234006
172,350.0,400.0,0.175,0.06,178.6087777777778
173,350.0,600.0,0.102,0.06,155.0836666666667
174,350.0,1000.0,0.134,0.04,155.343444499999
175,300.0,800.0,0.06,0.04,150.00755555555554
176,300.0,1000.0,0.09200000000000001,0.04,143.31983339999897
177,400.0,400.0,0.212,0.04,240.65366666666665
178,300.0,400.0,0.147,0.04,182.74527773660486
179,400.0,600.0,0.16,0.06,154.99188888888887
180,250.0,400.0,0.141,0.08,155.68900000134232
181,500.0,1000.0,0.15599999999999997,0.04,171.20366666666666
182,500.0,1800.0,0.082,0.04,146.541
183,500.0,600.0,0.17,0.06,167.5433333333333
184,250.0,400.0,0.131,0.06,157.25477777777775
185,300.0,600.0,0.06899999999999999,0.06,160.69516667917782
186,350.0,600.0,0.131,0.06,173.65111111557502
187,350.0,400.0,0.19,0.04,269.3597777777778
188,350.0,600.0,0.065,0.06,155.08366666666672
189,400.0,400.0,0.198,0.06,226.01022222222224
190,250.0,400.0,0.12099999999999997,0.06,157.25477777777775
191,400.0,800.0,0.12,0.04,198.99922222222222
192,350.0,400.0,0.147,0.06,160.18055555555554
193,350.0,400.0,0.18,0.06,178.6087777777778
194,400.0,1400.0,0.075,0.04,154.64877777777778
195,300.0,400.0,0.124,0.06,160.18055555555554
196,400.0,1400.0,0.09500000000000001,0.04,154.64877777777778
197,150.0,600.0,0.123,0.04,165.89453834054288
198,300.0,800.0,0.12,0.04,150.00755555555554
199,250.0,600.0,0.075,0.06,143.31022222222225
200,250.0,400.0,0.089,0.04,182.46166666666667
201,300.0,600.0,0.118,0.04,174.77022222222223
202,350.0,800.0,0.15300000000000002,0.04,169.6988888888889
203,250.0,600.0,0.135,0.04,156.0775555570014
204,450.0,600.0,0.187,0.04,241.679888888889
205,300.0,600.0,0.172,0.04,174.77022222222223
206,350.0,1000.0,0.101,0.04,155.343444499999
207,450.0,800.0,0.159,0.04,203.35566665000002
208,400.0,1000.0,0.10999999999999999,0.04,167.36705555
209,350.0,400.0,0.165,0.04,269.3597777777778
210,350.0,400.0,0.116,0.039999999999999994,166.80611109744925
211,400.0,800.0,0.10799999999999998,0.04,198.99922222222222
212,500.0,800.0,0.11,0.08,143.3677779
213,500.0,1200.0,0.131,0.04,162.78066666666666
214,250.0,600.0,0.123,0.07999999999999999,156.0775555734403
215,400.0,400.0,0.088,0.08,163.17088889855546
216,500.0,1000.0,0.125,0.04,171.20366666666666
217,400.0,1400.0,0.096,0.04,154.64877777777778
218,400.0,1000.0,0.1,0.04,167.36705555
219,350.0,600.0,0.12300000000000003,0.04,192.21855555555555
220,350.0,600.0,0.10699999999999998,0.06,155.08366666666672
221,350.0,800.0,0.10500000000000001,0.04,169.69888888888886
222,400.0,800.0,0.16799999999999998,0.04,198.99922222222222
223,300.0,800.0,0.10400000000000001,0.04,150.00755555555554
224,300.0,1000.0,0.07,0.04,143.319833399999
225,350.0,400.0,0.14800000000000002,0.06,178.60877777777776
226,450.0,600.0,0.173,0.04,241.67988888888902
227,350.0,600.0,0.155,0.07999999999999999,173.65111112265564
228,300.0,600.0,0.136,0.04,174.77022222222223
229,400.0,600.0,0.10200000000000001,0.06,180.67611112331113
230,250.0,400.0,0.098,0.06,157.25477777777775
231,350.0,400.0,0.175,0.08,166.8061111160724
232,400.0,600.0,0.145,0.020000000000000004,180.67611109447813
233,400.0,1000.0,0.114,0.04,167.36705555
234,400.0,400.0,0.182,0.020000000000000004,233.33194443758035
235,400.0,1400.0,0.08,0.04,154.64877777777775
236,300.0,400.0,0.16,0.08,157.40811111111108
237,300.0,400.0,0.088,0.08,157.40811111111114
238,350.0,400.0,0.16600000000000004,0.06,169.39466666627527
239,450.0,800.0,0.153,0.04,203.35566665
240,300.0,1000.0,0.1,0.04,143.319833399999
241,200.0,800.0,0.037000000000000005,0.04,143.73077790000002
242,250.0,400.0,0.125,0.08,154.1232222222222
243,350.0,800.0,0.123,0.04,169.69888888888886
244,350.0,400.0,0.14399999999999996,0.1,157.5920000027764
245,300.0,600.0,0.13599999999999998,0.06,146.62011111111113
246,200.0,800.0,0.073,0.04,143.7307779
247,350.0,400.0,0.16000000000000003,0.06,160.18055555555554
248,250.0,400.0,0.14100000000000001,0.04,182.4616666666667
249,400.0,400.0,0.13,0.08,163.67088890051681
0,500.0,1000.0,0.16499999999999998,0.06,125.35933333333332
1,400.0,600.0,0.067,0.08,140.718
2,450.0,800.0,0.102,0.08,135.6652223
3,350.0,800.0,0.117,0.06,116.91855555555557
4,300.0,1000.0,0.054,0.06,112.502074099999
5,400.0,1200.0,0.112,0.04,135.7348888888889
6,200.0,400.0,0.085,0.06,133.64525
7,450.0,1200.0,0.104,0.06,112.47177777777779
8,450.0,1200.0,0.12200000000000001,0.06,112.47177777777777
9,450.0,1000.0,0.127,0.06,122.61605554999998
10,400.0,800.0,0.138,0.06,124.83944445
11,350.0,1400.0,0.03900000000000001,0.04,118.34166666666667
12,450.0,1600.0,0.08900000000000001,0.04,122.96611111111113
13,500.0,1000.0,0.138,0.08,128.00588888867716
14,450.0,1200.0,0.097,0.06,112.47177777777777
15,500.0,1200.0,0.009999999999999995,0.06,113.7256667
16,500.0,2000.0,0.09200000000000001,0.04,136.14600000000002
17,300.0,800.0,0.112,0.06,116.39737039999999
18,300.0,1000.0,0.09200000000000001,0.06,112.502074099999
19,450.0,800.0,0.135,0.06,132.7603333333333
20,500.0,1600.0,0.107,0.06,97.91522209999998
21,400.0,1000.0,0.09,0.039999999999999994,120.75255552472424
22,250.0,1000.0,0.078,0.04,131.29622229999902
23,450.0,1200.0,0.091,0.06,112.47177777777777
24,400.0,600.0,0.118,0.08,140.718
25,400.0,1000.0,0.09599999999999999,0.06,121.81622225
26,350.0,600.0,0.059,0.08,134.5271111111111
27,500.0,1000.0,0.078,0.08,130.65244444444443
28,450.0,800.0,0.147,0.06,132.7603333333333
29,450.0,1400.0,0.07700000000000001,0.06,101.6982222222222
30,250.0,800.0,0.054,0.06,115.35499999999999
31,450.0,1200.0,0.067,0.06,112.47177777777777
32,350.0,800.0,0.129,0.06,116.91855555555556
33,450.0,1200.0,0.11,0.06,112.47177777777777
34,400.0,2000.0,0.097,0.04,118.38799999999998
35,250.0,800.0,0.09300000000000001,0.06,115.35499999999998
36,450.0,1400.0,0.101,0.04,137.98577777777777
37,500.0,800.0,0.19599999999999998,0.06,140.68122215
38,450.0,2000.0,0.084,0.04,121.08366666666666
39,450.0,1000.0,0.086,0.06,122.61605555
40,400.0,800.0,0.12600000000000003,0.06,124.83944445000002
41,350.0,600.0,0.058,0.08,134.5271111111111
42,350.0,1000.0,0.09,0.06,113.4412778
43,250.0,1000.0,0.045,0.04,131.296222299999
44,250.0,800.0,0.078,0.06,115.35499999999998
45,500.0,1800.0,0.103,0.06,83.52299999999998
46,250.0,800.0,0.112,0.06,115.355
47,500.0,1600.0,0.03,0.06,97.9152221
48,450.0,1400.0,0.093,0.04,137.9857777777778
49,500.0,1000.0,0.138,0.08,130.65244444444446
50,400.0,2000.0,0.069,0.04,118.38799999999999
51,400.0,1200.0,0.074,0.04,135.7348888888889
52,350.0,800.0,0.081,0.06,116.91855555555556
53,400.0,1800.0,0.09999999999999999,0.04,113.367
54,350.0,1200.0,0.04,0.06,109.96400000000001
55,400.0,1000.0,0.07200000000000001,0.06,120.75255552489111
56,350.0,1400.0,0.104,0.04,118.34166666666667
57,250.0,1000.0,0.067,0.04,131.29622229999896
58,300.0,800.0,0.127,0.06,116.3973704
59,300.0,1000.0,0.07,0.06,112.502074099999
60,400.0,2000.0,0.088,0.04,118.38799999999999
61,500.0,1200.0,0.124,0.06,113.7256667
62,450.0,800.0,0.068,0.08,135.6652223
63,400.0,1000.0,0.081,0.039999999999999994,120.75255552471872
64,450.0,2000.0,0.093,0.04,121.08366666666666
65,450.0,1400.0,0.02500000000000001,0.06,119.84200000728266
66,300.0,800.0,0.097,0.06,116.39737039999999
67,450.0,1400.0,0.121,0.04,137.98577777777777
68,350.0,1200.0,0.086,0.04,114.55166666666665
69,350.0,1000.0,0.03,0.06,113.4412778
70,500.0,1400.0,0.142,0.06,105.82044440000001
71,200.0,400.0,0.096,0.06,133.64525
72,200.0,400.0,0.095,0.06,133.64525
73,400.0,1600.0,0.07,0.04,124.70877777777778
74,500.0,1000.0,0.097,0.06,125.35933333333332
75,500.0,1600.0,0.04300000000000001,0.06,97.91522210000001
76,350.0,800.0,0.085,0.1,118.58933333251164
77,400.0,1000.0,0.114,0.08,120.75255552511027
78,350.0,1200.0,0.078,0.04,114.55166666666666
79,350.0,800.0,0.067,0.08,120.26011111111113
80,500.0,1200.0,0.104,0.06,113.7256667
81,400.0,1200.0,0.096,0.04,135.73488888888892
82,450.0,800.0,0.165,0.06,132.7603333333333
83,350.0,1200.0,0.07699999999999999,0.06,109.964
84,500.0,1600.0,0.076,0.06,97.91522210000001
85,500.0,1400.0,0.11,0.06,105.8204444
86,350.0,1200.0,0.054,0.06,109.964
87,400.0,1200.0,0.065,0.06,111.217888899999
88,300.0,1000.0,0.047,0.06,112.50207409999902
89,500.0,800.0,0.158,0.06,140.68122215
90,350.0,600.0,0.123,0.08,134.5271111111111
91,500.0,1400.0,0.06999999999999999,0.06,105.82044440000001
92,450.0,800.0,0.05100000000000002,0.08,135.6652223
93,400.0,600.0,0.186,0.08,140.718
94,450.0,1000.0,0.127,0.1,122.89383327493071
95,400.0,1200.0,0.057,0.06,111.217888899999
96,400.0,600.0,0.152,0.08,140.718
97,400.0,1000.0,0.075,0.08,119.68888880000002
98,400.0,1200.0,0.08900000000000001,0.04,135.73488888888892
99,400.0,1000.0,0.062,0.08,119.6888888
101,350.0,1000.0,0.08,0.06,113.4412778
102,500.0,1400.0,0.11399999999999999,0.06,105.8204444
103,500.0,1800.0,0.11,0.06,83.52299999999998
104,450.0,1400.0,0.097,0.06,101.69822222222221
105,400.0,800.0,0.144,0.06,124.83944445
106,400.0,800.0,0.138,0.08,126.40105555806785
107,400.0,1000.0,0.05,0.08,119.68888880000002
108,350.0,1000.0,0.095,0.06,113.4412778
109,450.0,1200.0,0.07300000000000001,0.06,112.47177777777777
110,450.0,1200.0,0.057,0.06,112.47177777777777
111,450.0,1000.0,0.10499999999999998,0.06,122.61605555
112,400.0,1200.0,0.112,0.06,111.217888899999
113,350.0,1600.0,0.107,0.04,122.2921667
114,300.0,1200.0,0.108,0.04,136.63211111111113
115,350.0,1200.0,0.111,0.020000000000000004,112.25783333279895
116,500.0,800.0,0.171,0.06,140.68122215
117,500.0,2000.0,0.08299999999999999,0.04,136.146
118,500.0,800.0,0.15100000000000002,0.06,140.68122215
119,250.0,800.0,0.104,0.06,115.35499999999999
120,400.0,1800.0,0.10300000000000001,0.04,117.39508591018608
121,350.0,800.0,0.137,0.08,120.26011111111113
122,300.0,1200.0,0.11699999999999999,0.04,136.63211111111113
123,400.0,2000.0,0.078,0.04,118.38799999999998
124,350.0,1000.0,0.106,0.06,113.4412778
125,500.0,1800.0,0.089,0.06,83.52299999999998
126,400.0,800.0,0.094,0.06,126.4010555585988
127,500.0,1000.0,0.108,0.08,130.65244444444443
128,500.0,1400.0,0.06,0.06,105.8204444
129,500.0,1800.0,0.082,0.06,83.52299999999998
130,350.0,1400.0,0.10300000000000001,0.04,118.34166666666667
131,300.0,800.0,0.07,0.06,116.3973704
133,500.0,1000.0,0.083,0.06,128.0058888894314
134,350.0,1200.0,0.095,0.06,109.964
135,450.0,1000.0,0.055,0.08,122.89383327492139
136,500.0,2000.0,0.101,0.04,136.146
137,350.0,800.0,0.07,0.06,118.58933333355739
138,450.0,1000.0,0.11,0.06,122.61605555
139,450.0,800.0,0.06,0.06,132.7603333333333
140,500.0,2000.0,0.074,0.04,136.14600000000002
141,450.0,1800.0,0.065,0.04,121.42177777777776
142,350.0,1600.0,0.089,0.04,122.2921667
143,400.0,1000.0,0.123,0.06,121.81622225
144,450.0,800.0,0.141,0.06,132.7603333333333
145,400.0,1000.0,0.101,0.1,120.75255552527877
146,450.0,1000.0,0.09700000000000002,0.1,122.89383327490575
147,500.0,1000.0,0.13300000000000003,0.06,125.35933333333331
148,250.0,800.0,0.047,0.06,115.35499999999999
149,500.0,800.0,0.08100000000000002,0.06,140.68122215000002
150,450.0,800.0,0.165,0.06,132.76033333333328
151,500.0,1600.0,0.09600000000000002,0.06,97.91522209999998
152,500.0,1800.0,0.05,0.06,83.52299999999998
153,400.0,800.0,0.06,0.08,127.96266666666666
154,200.0,400.0,0.14,0.06,133.64525
155,400.0,800.0,0.106,0.08,127.96266666666666
156,400.0,1200.0,0.09599999999999999,0.020000000000000004,123.47638889177773
157,350.0,1000.0,0.112,0.06,113.4412778
158,450.0,1600.0,0.088,0.04,122.96611111111112
159,450.0,1400.0,0.089,0.04,137.98577777777777
160,450.0,1600.0,0.07400000000000001,0.04,122.96611111111108
161,400.0,1600.0,0.11599999999999999,0.04,124.70877777777777
162,200.0,400.0,0.129,0.06,133.64524999999998
163,350.0,800.0,0.081,0.039999999999999994,118.5893333339907
164,500.0,1200.0,0.123,0.06,113.7256667
165,400.0,1800.0,0.084,0.04,113.367
166,250.0,1000.0,0.05600000000000001,0.04,131.29622229999896
167,400.0,1600.0,0.076,0.04,124.70877777777778
168,450.0,1000.0,0.139,0.06,122.61605555
169,500.0,1400.0,0.07,0.06,105.8204444
170,450.0,1400.0,0.093,0.06,101.69822222222221
171,400.0,1200.0,0.073,0.06,111.217888899999
172,500.0,2000.0,0.11,0.04,136.146
173,450.0,1800.0,0.10200000000000001,0.04,117.39369186758313
174,300.0,1000.0,0.062,0.06,112.502074099999
175,250.0,800.0,0.078,0.06,115.35499999999999
176,400.0,1200.0,0.073,0.020000000000000004,123.47638889214547
177,450.0,1000.0,0.04799999999999999,0.06,122.61605555
178,350.0,800.0,0.09899999999999999,0.06,116.91855555555556
179,450.0,1400.0,0.076,0.06,101.69822222222221
180,500.0,1800.0,0.09999999999999999,0.06,83.52299999999998
181,400.0,1200.0,0.081,0.06,111.217888899999
182,250.0,1000.0,0.089,0.04,131.296222299999
183,300.0,1200.0,0.05600000000000001,0.04,136.63211111111113
184,300.0,1000.0,0.093,0.06,112.50207409999899
185,350.0,1200.0,0.095,0.04,114.55166666666666
186,500.0,1800.0,0.067,0.06,83.52299999999998
187,250.0,1000.0,0.12200000000000001,0.04,131.29622229999896
188,500.0,1000.0,0.089,0.08,128.00588888865175
189,350.0,1200.0,0.062,0.06,109.964
190,500.0,1000.0,0.129,0.06,125.35933333333334
191,200.0,400.0,0.15099999999999997,0.06,133.64525000000003
192,450.0,1400.0,0.105,0.06,101.69822222222221
193,400.0,600.0,0.084,0.08,140.718
194,500.0,2000.0,0.074,0.04,119.73525883322014
195,500.0,1000.0,0.134,0.06,125.35933333333332
196,300.0,1000.0,0.086,0.06,112.50207409999902
197,400.0,1800.0,0.01999999999999999,0.04,113.367
198,500.0,1600.0,0.08,0.06,97.9152221
199,350.0,800.0,0.095,0.08,120.26011111111114
200,450.0,1000.0,0.098,0.06,122.61605555
201,300.0,800.0,0.08,0.06,116.3973704
202,400.0,1000.0,0.088,0.08,119.6888888
203,350.0,800.0,0.053,0.1,118.58933333224651
204,300.0,1000.0,0.108,0.06,112.502074099999
205,450.0,1600.0,0.103,0.04,122.96611111111113
206,300.0,1200.0,0.06599999999999999,0.04,136.63211111111116
207,350.0,800.0,0.14100000000000001,0.06,116.91855555555557
208,350.0,800.0,0.081,0.08,118.58933333311423
209,300.0,800.0,0.09,0.06,116.39737040000001
210,500.0,1600.0,0.097,0.06,97.9152221
211,400.0,800.0,0.156,0.06,124.83944445
212,300.0,1600.0,0.07199999999999998,0.04,123.50127491945446
213,300.0,800.0,0.105,0.06,116.3973704
214,400.0,800.0,0.11399999999999999,0.06,124.83944445
215,500.0,2000.0,0.065,0.04,136.146
216,350.0,1600.0,0.083,0.04,122.2921667
217,300.0,800.0,0.03,0.06,116.3973704
218,450.0,1800.0,0.105,0.04,121.42177777777778
219,400.0,1600.0,0.099,0.04,124.70877777777777
220,350.0,600.0,0.06599999999999999,0.08,137.62533645236442
221,450.0,800.0,0.10499999999999998,0.06,132.76033333333328
222,400.0,1000.0,0.118,0.06,121.81622225
223,200.0,400.0,0.047,0.06,133.64525
224,450.0,800.0,0.153,0.08,135.6652223
225,450.0,1000.0,0.116,0.06,122.61605555
226,400.0,800.0,0.10199999999999998,0.06,124.83944445
227,500.0,1200.0,0.08,0.06,113.7256667
228,400.0,800.0,0.09,0.08,127.96266666666666
229,350.0,1200.0,0.07,0.06,109.964
230,500.0,1600.0,0.10099999999999999,0.06,97.91522209999998
231,350.0,1200.0,0.103,0.04,114.55166666666666
232,400.0,2000.0,0.0030000000000000027,0.04,118.38799999999999
233,200.0,400.0,0.049,0.06,133.64525000000003
234,350.0,1000.0,0.101,0.06,113.4412778
235,300.0,1200.0,0.082,0.04,136.63211111111113
236,350.0,1400.0,0.078,0.04,118.34166666666667
237,500.0,1000.0,0.143,0.06,125.35933333333332
238,400.0,1000.0,0.114,0.06,121.81622225000001
239,450.0,1000.0,0.099,0.08,122.89383327496992
240,350.0,1400.0,0.097,0.04,118.34166666666665
241,500.0,1200.0,0.084,0.06,113.7256667
242,450.0,800.0,0.13499999999999998,0.06,132.7603333333333
243,450.0,800.0,0.10199999999999998,0.08,135.6652223
244,400.0,1200.0,0.041,0.06,111.217888899999
245,450.0,800.0,0.136,0.08,135.6652223
246,250.0,800.0,0.087,0.06,115.35499999999999
0,250.0,800.0,0.095,0.04,146.86916675
1,250.0,400.0,0.121,0.04,182.46166666666667
2,500.0,1000.0,0.147,0.06,125.35933333333332
3,450.0,1200.0,0.104,0.04,152.7262222222222
4,400.0,600.0,0.101,0.08,140.718
7,350.0,800.0,0.117,0.06,116.91855555555556
8,400.0,800.0,0.144,0.04,198.99922222222222
9,500.0,600.0,0.163,0.08,151.2592222222222
11,300.0,1000.0,0.078,0.04,143.319833399999
15,500.0,1400.0,0.106,0.04,141.81755555555554
17,450.0,1200.0,0.104,0.06,112.47177777777777
18,400.0,400.0,0.117,0.06,226.01022222222224
19,500.0,600.0,0.174,0.06,167.54333333333332
20,500.0,1200.0,0.11,0.04,162.78066666666666
21,450.0,1200.0,0.116,0.06,112.47177777777777
25,450.0,800.0,0.165,0.04,203.35566665
26,500.0,800.0,0.073,0.08,143.3677779
27,450.0,1000.0,0.127,0.06,122.61605555
28,400.0,800.0,0.132,0.06,124.83944445
